code,name,market
2091,ＮＺＡＭ　上場投信　ドイツ国債７－１０年（為替ヘッジあり）,11
2092,ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）,11
2093,上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）,11
2094,東証ＲＥＩＴインバースＥＴＦ,11
2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）,11
2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ,11
2097,グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ,11
2098,グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ,11
2107,東洋精糖,2
2108,日本甜菜製糖,1
2109,ＤＭ三井製糖ホールディングス,1
210A,ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数,11
2112,塩水港精糖,2
2114,フジ日本,2
2117,ウェルネオシュガー,1
211A,カドス・コーポレーション,2
2120,ＬＩＦＵＬＬ,1
2121,ＭＩＸＩ,1
2122,インタースペース,2
2124,ジェイエイシーリクルートメント,1
2127,日本Ｍ＆Ａセンターホールディングス,1
212A,フィットイージー,2
2130,メンバーズ,1
2134,北浜キャピタルパートナーズ,2
2136,ヒップ,2
2138,クルーズ,2
2139,中広,2
213A,上場インデックスファンド日経半導体株,11
2146,ＵＴグループ,1
2148,アイティメディア,1
2150,ケアネット,1
2152,幼児活動研究会,2
2153,Ｅ・Ｊホールディングス,1
2154,オープンアップグループ,1
2156,セーラー広告,2
2157,コシダカホールディングス,1
2158,ＦＲＯＮＴＥＯ,3
215A,タイミー,3
2160,ジーエヌアイグループ,3
2162,ｎｍｓ　ホールディングス,2
2163,アルトナー,1
2164,地域新聞社,3
2168,パソナグループ,1
2169,ＣＤＳ,2
2170,リンクアンドモチベーション,1
2173,博展,3
2175,エス・エム・エス,1
2179,成学社,2
2180,サニーサイドアップグループ,2
2181,パーソルホールディングス,1
2183,リニカル,2
2185,シイエム・シイ,2
2186,ソーバル,2
218A,Ｌｉｂｅｒａｗａｒｅ,3
2193,クックパッド,2
2195,アミタホールディングス,3
2196,エスクリ,2
2198,アイ・ケイ・ケイホールディングス,1
